ʃʌparaj	butterfly
sahʌba	companion of the Prophet
qʊʃun	soldier (archaic?)
jʌq	direction ([taraf])
qultəm	a swallow (of liquid)
ketʃmʌɣ	to come up, to appear
mɛʃɛnɛ	water container (archaic)
jawɣlamʌɣ	to come closer
kʊrkamlik	beautiful
ʌzajtɛrmʌɣ	to reduce
ʃu kabi	in this way
gʌz	gas
tʃaŋg	animal's claw, dust storm
ajamʌɣ	to watch over
kumər	charcoal
hawfli	dangerous
tugamʌɣ	to finish (intrans.)
darak	informative (e.g., informative sentence)
bɪlgɛ	information
handasa	engineering
mʊsalas	triangle
utʃburtʃ(ak)	triangle
pɛʃɪɣ	cooked/paved ([pʊxta])
qatnamʌɣ	to come and go
kʊpintʃa	often
bahra	benefit
se partʃa	school transfer form
dawʌm	continuation
tʃaqɛrɪq	invitation
qawʊntʃɛlik	happiness
qajɣu	sorrow
mʌtam	sorrow
ɛlgar-ɛ dan	from the beginning
arqali	by means of (postposition)
azʌdʌr	mourning
qʊwʌntʃ	happy
qʊtlamʌɣ	to congratulate
tadʒlil qəlmʌɣ	to congratulate
qʊtlawi	congratulatory
kʊpajtɛrmʌɣ	to increase
bajram	Eid
jaratɛlgan	created
qʊwʌntɛrmʌɣ	to make happy
win tamʌʃʌ	spectator
qatnaʃmʌɣ	to relax, enjoy oneself
ekɪnzʌr	field
sɛwʊmli	adorable
xʊrsand	happy
qajtɛrmʌɣ	to give change
jaŋlaʃmʌɣ	to make a mistake
sɪlamʌɣ	to pet, stroke
beʃik	wooden cradle
jeʃtɛlar-jeʃtɛlmas	barely audible
dʒahʌlat	ignorance
ʃʌʃmʌɣ	to be suprised, confused
dʒuda	much
tʃekmʌɣ	to go through, experience
rɛsʌla	story, essay
rijʌzijʌt	mathematics
nʊdʒum	astronomy
dʌru	medicine
jumʌɣ	to wash
julmʌɣ	to pluck
arʌba	man-drawn cart
qenalmʌɣ	to be in pain
kelɛgu	future
turi	kind, type
berqantʃa	a few
ʃʊɣɛltʃɛ	worker
qarɛʃ	distance from thumb to pinky on an outstretched hand
teb	lower portion of a tree's trunk
jumʃatmʌɣ	to soften
suɣarmʌɣ	to irrigate
harʌrat	sun's heat
ʌɣfarmʌɣ	to plough
qʊʃ ajdamʌɣ	to drive animals
tʃʌl	old (people, animals)
keksa	old (people, animals)
sarli	pre-fasting meal
tarawi	prayer
sɪpʌra	portion of the Qur'an
salqɪnlatmʌɣ	to make moderate
qʊrʊqlik	heat
sʊlam	moist, humid
pʌda	yak
pʌdatʃɛ	yak caretaker
tʊjmʌɣ	to be satiated
jelaw	pasture
wʊlatmʌɣ	to graze
sɪnmʌɣ	to break (intrans.)
sɪndɛrmʌɣ	to break (trans.)
sujak	bone
qɪmɛrmʌɣ	to work
ʌʃmʌɣ	to pass
sez	sound
kamtʃɛlik	lacking, inadequate, poor
bujuq	command
sɛɣɛr	bovine animal
sʌɣmʌɣ	to milk
bujurmʌɣ	to command
sɪqɪlmʌɣ	to be distressed
xɪmtʃa	stick
jeŋɪlmʌɣ, jeŋmʌɣ	to succeed
aŋlamʌɣ	to understand
alqamʌɣ, alqɪʃlamʌɣ	to applaud
taprʌɣ	backpack
tabʌʃir	chalk
nʌʃtʌ	breakfast
sʌlmʌɣ	to place into
undaw bɪlgi	exclamation point
surʌg bɪlgi	question mark
tʊxtʌw bɪlgi	comma
kɛbr	pride (negative)
ezi-ga	behind
ɛspɛlʌɣ	spinach
muli	radish
pamadər	tomato
fʌsulja	green beans
tarʌji	long white radish
ʃalɣam	turnip
ʌbi	irrigated
dajma	unirrigated (rainfed)
katak	chicken coop
kurk	being in heat (only of chickens)
tagi-ga	under (literary form of [taj-ga])
xat jʌzutʃɛ	letter-writer (job)
ku	(some kind of discourse marker, also in Dari)
afsus	pain
zinat	personal indicator (Dari: ornament)
zarwar	jewelry
kʊlʌl	potter (also, maker of tandoors)
tintʃ	peace
kʊp-dan kʊp	more and more, over and over
damrʌst	rested
jaralanmʌɣ	to be injured
jaralantɛrmʌɣ	to injure
qarʃ-əm-(da/ga)	in front of me (also with other personal markers)
dʊtʃ kelmʌɣ	to come across
arka (lit. arkaŋ)	behind
katʃal	person missing a leg
butun	all, every
ʊluj	dead person
wʊzɛlmʌɣ	to be stretched out
iskamʌɣ	to sniff
qʊrqʌɣ	coward
nɛfʌq	disunity
qatɪɣ	fight
nʌs	naswar (tobacco product)
tʃɛlɛm	bong (reported for tobacco)
tawsija qəlmʌɣ	to prescribe (what doctors do)
ʌrtɪq	more
qʊʃɪmtʃɛ	gathered together
kʌn	mine (for minerals, etc.)
sewamʌɣ	to value (mostly people, animals)
jeʃtɛrmʌɣ	to say (to make hear!)
wʊpmʌɣ	to kiss
tan bermʌɣ	to give a turn
kʊz-ga tutmʌɣ	to keep in mind
kengaʃmʌɣ	(1) to compete with, (2) to remember
ʌrtɛrmʌɣ	to increase
esʌn	bounty, grace
amʌn	bounty, grace
ʌlʌtʌlʌ	Allah (+honorific?)
mazʌh	joke
X-ga bʌɣliq	to belong to X, to have to do with X
bulɪʃtɛrmʌɣ	to divide up
kʌwlamʌɣ	to dig, to pick one's teeth
kata	big
ʃawqɛn/ʃawqɛm sʌlmʌɣ	to shout, yell
marta	occasion (martaba)
tʃidan	really, actually
dʌja	wet-nurse
qɪzɪqmʌɣ	to be interesting
sajlamʌɣ	to choose
qarʃmʌɣ	to object, be opposed to
nʌsʌz bʊlmʌɣ	to fight
mul	abundant
kutʃmantʃɛ	migratory
sarɪʃta qəlmʌɣ	to store
muzlamʌɣ	to freeze
jaxmʌlak	slippery
maʔbus bʊlmʌɣ	to become
ɣazʌ	fight
ʌtʃlik	hunger
anana (pl. ananʌt)	tradition
ʊʃbu	ʃu
xɛlʌfat	caliphate
tun	daily life (rʊzɛgar)
gezmʌg	to wander around
mʊʃaraf bʊlmʌɣ	to accept (a religion)
faxrlanmʌɣ	to boast
mʊnʌfɛq	bad person
mʊtaxasɛs	learned
ʃʊɣɛlanmʌɣ	to be occupied
qʊʃnɛ	neighbor
ɛqlim	climate
fʌrəm	beneficial, interesting
ʌstadaki	underground (adj.)
tajdaki	underground (adj.)
fani	important (from Dari, technical?)
ʊnɛmli	important
zamarʊd	emerald
jʌqud(t)	ruby
lal	garnet
tuz	salt
qɛʃʌqlik	poverty
juksalmʌɣ	to get higher
hatmi	certain
digan	called (di-gan)
wʊstɛrmʌɣ	to make grow (only for plants)
ezgu	good, beneficial
awajlanmʌɣ	to arrange
nega	why/because
asr	period, era
bahʌdɛr	courageous, brave
delɛr	courageous, brave
ʃʊdʒʌ	courageous, brave
ken esa	later
manfɛati	beneficial
xajrira bɛnʌ	public buildings, gifts to society
kʊz jumʌɣ	to die (to wash one's eyes)
manzur wa mansur	literary works
ɛmlʌ	writing
ɛnʃʌ	reading
qɪlɪq	movement
ɣam-qajɣu	sorrow
dʒʊʃqɪn	zeal, ardour
tʊjɣu	feeling
wiɣatmʌɣ	to make think, to stir up feelings
qʌfija	rhyme
zʌmɛn	security
dʌnak	pit (of a fruit)
ɪgna	needle
wʊtgɛr	sharp
ɛfʌdalamʌɣ	to say, explain
kenki	following
sʌraki	following
kʊrsatutʃɛ	indicator
tɛŋgri tʌla	God
maʃqat	difficulty
jɛrɛʃmʌɣ	to reach
ʊmr buji	to the end of life
ʊtʃramʌɣ	to be faced with
tʌpʃɪrəɣ	admonition
mʊʃʌba	similar, alike
ʃakldʌʃ	homophone (or more generally: identical?)
ikala	both (ikawɛ)
bʌlta	axe
pʌrtlʌutʃɛ	bomb
pʌtlʌutʃɛ mʌda	explosive materials
pʌrtlamʌɣ	to explode
hajbat	awe, dread, solemnity (Dari)
wʊtʊn	firewood, firestuff
qamʌq	jail
